@RELATION data/svm_chimes
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {NBC_Not_Chimes,NBC_Chimes}

@DATA
0.176333,0.032522,3.007011,0.268231,0.216312,1.446362,0.013571,0.324303,-25.386757,1.263284,-0.057873,0.348274,0.644633,-0.600992,-0.106930,0.253686,0.166720,0.129789,0.089605,-0.099344,0.094696,0.012484,0.007498,0.048156,0.015111,0.020896,0.010378,0.028360,0.001799,0.003878,0.019728,0.012648,0.011375,0.024535,0.079394,0.051230,0.318385,0.062655,0.033073,0.630825,0.008633,0.185300,2.942722,0.844446,1.016538,0.529790,0.540024,0.340325,0.375946,0.296649,0.275487,0.204850,0.273120,0.244409,0.217675,0.016495,0.010435,0.059852,0.020133,0.025010,0.012914,0.031411,0.003323,0.003915,0.026459,0.011229,0.018649,0.015051,NBC_Not_Chimes
0.203758,0.012065,2.966247,0.299348,0.251996,1.406234,0.011303,0.350848,-28.023114,1.633955,-0.168180,0.622194,0.510620,-0.717042,0.218604,0.243822,0.220385,-0.079421,-0.010593,0.053995,-0.014637,0.009871,0.006147,0.043868,0.011441,0.015051,0.032514,0.030730,0.001539,0.004675,0.013021,0.010266,0.005362,0.021845,0.083747,0.024815,0.282844,0.075339,0.048002,0.545783,0.005970,0.212039,3.900987,0.721359,1.075977,0.398166,0.712512,0.411157,0.437772,0.317854,0.291631,0.232231,0.199063,0.252798,0.179108,0.009442,0.008473,0.047691,0.014561,0.014973,0.034147,0.031859,0.002778,0.005975,0.015588,0.012916,0.006959,0.013348,NBC_Not_Chimes
0.259879,0.026839,3.200187,0.352030,0.237339,1.927904,0.005004,0.417636,-24.364202,-0.201462,-0.769660,0.829276,0.098497,-0.667122,-0.014829,-0.235282,-0.035806,-0.362211,-0.119402,0.272651,-0.056651,0.009648,0.003305,0.025594,0.019038,0.014699,0.006061,0.005625,0.013638,0.002806,0.002633,0.006680,0.002108,0.015305,0.034464,0.025718,0.140778,0.028050,0.016905,0.295620,0.002481,0.118550,1.445849,0.618372,0.366295,0.235475,0.290325,0.189287,0.197436,0.231160,0.207880,0.262797,0.235050,0.304660,0.210420,0.010814,0.003650,0.033691,0.016511,0.019109,0.009447,0.008527,0.021047,0.002983,0.002116,0.007260,0.001618,0.008809,NBC_Not_Chimes
0.259879,0.026839,3.200187,0.352030,0.237339,1.927904,0.005004,0.417636,-24.364202,-0.201462,-0.769660,0.829276,0.098497,-0.667122,-0.014829,-0.235282,-0.035806,-0.362211,-0.119402,0.272651,-0.056651,0.009648,0.003305,0.025594,0.019038,0.014699,0.006061,0.005625,0.013638,0.002806,0.002633,0.006680,0.002108,0.015305,0.034464,0.025718,0.140778,0.028050,0.016905,0.295620,0.002481,0.118550,1.445849,0.618372,0.366295,0.235475,0.290325,0.189287,0.197436,0.231160,0.207880,0.262797,0.235050,0.304660,0.210420,0.010814,0.003650,0.033691,0.016511,0.019109,0.009447,0.008527,0.021047,0.002983,0.002116,0.007260,0.001618,0.008809,NBC_Not_Chimes
0.286758,0.007978,2.700943,0.370651,0.238513,1.781342,0.009250,0.470970,-29.329103,0.488728,-0.004795,0.248827,0.524330,-0.590165,0.333828,-0.143930,-0.075887,-0.094859,0.002661,0.115130,-0.002462,0.004967,0.003071,0.011903,0.008010,0.011745,0.034872,0.027699,0.002533,0.004777,0.005184,0.008915,0.005082,0.014997,0.136280,0.014348,0.541476,0.097977,0.037616,0.622473,0.005416,0.219742,4.485972,0.889710,1.035500,0.422845,0.525079,0.435052,0.390387,0.293733,0.287250,0.254133,0.217195,0.214953,0.173573,0.006809,0.004099,0.012579,0.010153,0.011538,0.046671,0.026950,0.003751,0.005016,0.004824,0.006522,0.006411,0.012176,NBC_Not_Chimes
0.175515,0.068079,3.284722,0.227553,0.176137,0.843946,0.016766,0.186061,-24.037650,0.928164,-1.640851,0.285781,-0.261393,-1.278663,-0.185151,0.575635,0.744986,0.017084,0.117208,0.116343,-0.334953,0.004192,0.023238,0.022796,0.005264,0.000669,0.001491,0.000749,0.001002,0.000691,0.004003,0.009677,0.015321,0.013346,0.010095,0.024356,0.027642,0.011031,0.014064,0.228206,0.014667,0.008219,0.527188,0.340396,0.332183,0.248462,0.288858,0.211945,0.219325,0.260151,0.212778,0.235233,0.209582,0.161173,0.148064,0.003669,0.030430,0.023686,0.003863,0.000395,0.001454,0.000408,0.001002,0.000537,0.003758,0.010281,0.013133,0.009329,NBC_Not_Chimes
0.173212,0.023710,2.912487,0.316562,0.260653,1.225653,0.012682,0.301333,-29.560434,1.137526,0.433127,0.600090,0.994789,-0.553099,0.298210,-0.111923,-0.074039,-0.138199,-0.162692,-0.030532,-0.163785,0.011875,0.002800,0.130248,0.003543,0.008487,0.019590,0.021792,0.002678,0.002765,0.013122,0.014586,0.002604,0.041942,0.130988,0.047819,0.291320,0.084924,0.037941,0.704568,0.006381,0.252052,5.025336,0.820094,1.072719,0.438540,0.409193,0.347642,0.358232,0.276999,0.268048,0.203615,0.214755,0.206416,0.177109,0.017900,0.004177,0.132783,0.005794,0.011173,0.023422,0.022406,0.004930,0.004873,0.019895,0.016703,0.005659,0.031824,NBC_Not_Chimes
0.205242,0.062822,3.146903,0.279364,0.189625,1.366084,0.008385,0.279758,-23.000282,-0.019597,-1.472087,0.156415,0.860647,-0.560509,-0.138668,0.430549,-0.107323,0.053099,0.010191,0.023468,-0.069740,0.004731,0.004474,0.004155,0.011191,0.033683,0.005627,0.004990,0.000958,0.001352,0.001439,0.004949,0.024871,0.016113,0.024236,0.028414,0.093685,0.019784,0.012296,0.366722,0.003691,0.067409,0.873369,0.312703,0.353321,0.410898,0.259067,0.219130,0.176346,0.184010,0.225528,0.197424,0.233532,0.145436,0.173845,0.004556,0.005507,0.004749,0.010459,0.030717,0.007817,0.004023,0.001134,0.001076,0.001604,0.005719,0.023073,0.009796,NBC_Not_Chimes
0.179667,0.028239,3.209219,0.227963,0.172802,1.521666,0.007654,0.247152,-23.657443,1.118525,-0.825994,1.559794,0.299940,-0.475534,0.078808,0.067293,0.130231,-0.174161,-0.107870,0.026053,0.007818,0.014955,0.002908,0.046750,0.016034,0.030972,0.013641,0.008796,0.009451,0.002285,0.007781,0.006859,0.002003,0.020717,0.031839,0.019059,0.070930,0.020928,0.015377,0.251889,0.004494,0.029349,0.715265,0.437188,0.327742,0.250479,0.281562,0.253113,0.224400,0.218551,0.232295,0.226310,0.206281,0.193134,0.191911,0.021014,0.002928,0.046854,0.015457,0.018472,0.023629,0.006241,0.011721,0.002272,0.007085,0.003709,0.001739,0.010899,NBC_Not_Chimes
0.170667,0.036766,3.190067,0.228149,0.191461,1.408371,0.009570,0.273636,-24.239546,1.594252,-0.312664,0.011523,0.760768,-1.019532,-0.373438,-0.003049,-0.311590,-0.027262,-0.318571,0.091748,-0.219195,0.013416,0.008221,0.037192,0.012306,0.017052,0.015194,0.015268,0.001199,0.007486,0.022150,0.009707,0.005526,0.018601,0.056334,0.017971,0.099073,0.044700,0.018708,0.497960,0.004983,0.141745,2.026898,0.574698,0.356636,0.412646,0.337153,0.305271,0.281926,0.198175,0.160517,0.214579,0.157885,0.194712,0.247724,0.011345,0.009813,0.045655,0.012908,0.015508,0.018517,0.013502,0.001178,0.008767,0.018257,0.006973,0.005569,0.012378,NBC_Not_Chimes
0.239394,0.022746,3.199814,0.315642,0.229955,1.986122,0.006608,0.418727,-24.212495,0.531286,-0.511233,0.447580,0.406069,-0.597325,-0.404508,-0.047977,0.051170,0.127117,-0.172645,-0.079537,0.029669,0.031752,0.008439,0.007853,0.020555,0.007652,0.003630,0.003542,0.003907,0.014896,0.004046,0.021874,0.002122,0.019807,0.053455,0.025755,0.131713,0.038790,0.019618,0.417279,0.002973,0.132860,1.168433,0.558856,0.415676,0.244335,0.302278,0.350419,0.291675,0.289225,0.217915,0.216627,0.232794,0.225771,0.225610,0.045596,0.015822,0.006798,0.020396,0.008575,0.004173,0.003436,0.003841,0.017071,0.003582,0.030270,0.001882,0.010452,NBC_Not_Chimes
0.205061,0.031620,3.180783,0.260123,0.187781,1.741412,0.005351,0.339091,-23.757592,0.854710,0.194123,0.505768,-0.113395,-0.362513,-0.392573,0.107821,-0.391709,-0.093295,-0.220241,0.135229,-0.331592,0.016929,0.008782,0.018900,0.011784,0.012788,0.010679,0.021675,0.001717,0.007767,0.017035,0.011176,0.004152,0.012079,0.039000,0.020941,0.073023,0.024689,0.008658,0.296578,0.001748,0.058083,1.064707,0.436109,0.441387,0.299171,0.252396,0.192220,0.267396,0.179408,0.174638,0.207440,0.190995,0.204757,0.159715,0.014382,0.008293,0.010567,0.008011,0.015403,0.007795,0.014263,0.001603,0.006612,0.012191,0.007904,0.003644,0.005089,NBC_Not_Chimes
0.175909,0.031850,3.222426,0.258031,0.206892,1.406739,0.009733,0.299636,-24.030837,1.307691,0.005975,0.432688,0.457817,-0.313999,-0.129626,-0.069728,0.138921,-0.035846,-0.090359,0.100194,-0.180065,0.008475,0.020734,0.046905,0.017735,0.027319,0.005653,0.014621,0.002291,0.018165,0.006412,0.014002,0.003599,0.024337,0.058069,0.024403,0.107664,0.047029,0.015658,0.467453,0.007077,0.118598,1.252606,0.562757,0.658635,0.385148,0.331485,0.311675,0.236866,0.191088,0.298934,0.266363,0.349666,0.312910,0.238007,0.011346,0.019621,0.052497,0.024647,0.013775,0.006367,0.013170,0.002682,0.028247,0.006723,0.009864,0.003528,0.013898,NBC_Not_Chimes
0.374364,0.027206,2.959951,0.448158,0.264683,2.045056,0.007351,0.657030,-28.211540,0.167669,0.294795,0.687175,0.634388,-0.854885,0.055053,0.074403,-0.168781,-0.001755,0.002566,0.009338,0.056429,0.007188,0.003990,0.012462,0.007280,0.008823,0.032878,0.019427,0.001338,0.004993,0.003656,0.004348,0.003005,0.013793,0.119453,0.038564,0.312255,0.088249,0.028839,0.493133,0.003493,0.158106,2.497488,0.953059,0.900622,0.425861,0.486285,0.383335,0.369142,0.294580,0.291309,0.225606,0.284937,0.218472,0.195102,0.011267,0.005724,0.014844,0.013023,0.011071,0.025005,0.018552,0.001957,0.009923,0.005324,0.005141,0.003253,0.007375,NBC_Not_Chimes
0.251424,0.019793,3.004835,0.354361,0.258409,1.552703,0.009239,0.473152,-30.650817,0.478236,0.339065,0.203259,1.044341,-0.289730,0.406325,0.227519,-0.051225,0.081584,0.060096,0.061072,-0.052695,0.004569,0.004034,0.049843,0.003916,0.009585,0.028594,0.041709,0.002641,0.003190,0.011375,0.017527,0.004270,0.023914,0.072099,0.039989,0.281388,0.057945,0.024804,0.505258,0.005783,0.175665,3.000172,0.726424,0.932078,0.527987,0.427806,0.289520,0.356308,0.298462,0.226809,0.221567,0.167874,0.196609,0.186709,0.006962,0.008096,0.036613,0.004681,0.010999,0.028455,0.040319,0.003405,0.004237,0.013389,0.018549,0.008898,0.010902,NBC_Not_Chimes
0.114788,0.009096,2.873988,0.250144,0.244378,0.970414,0.010429,0.169636,-29.395879,1.356216,0.200137,1.091390,0.472900,-0.786033,0.382403,-0.064720,-0.086807,-0.253550,0.003430,0.085564,-0.073057,0.007037,0.003311,0.161153,0.016905,0.015944,0.037105,0.027748,0.000935,0.002739,0.003965,0.007170,0.003623,0.048875,0.040493,0.012474,0.249265,0.035216,0.021730,0.464168,0.006893,0.130341,2.450698,0.615283,0.588431,0.416739,0.340200,0.332179,0.263864,0.276500,0.240739,0.201963,0.218677,0.165123,0.158145,0.009158,0.004352,0.064851,0.016576,0.013858,0.027889,0.018439,0.001095,0.002623,0.004042,0.005619,0.007860,0.014919,NBC_Not_Chimes
0.218939,0.021118,2.951547,0.260423,0.164589,1.533827,0.010091,0.307758,-24.931481,0.263624,-0.929897,1.303459,-0.454220,0.221685,-0.158648,-0.311934,-0.025829,-0.342733,0.002255,0.036695,0.039949,0.007215,0.004297,0.016120,0.009656,0.015654,0.013759,0.013794,0.002510,0.007156,0.006057,0.006632,0.007468,0.011367,0.058870,0.017976,0.318869,0.035941,0.023874,0.341932,0.004586,0.071463,2.087217,0.830453,0.991540,0.412664,0.544317,0.332515,0.281904,0.307043,0.269574,0.243744,0.224621,0.220165,0.188540,0.007291,0.005459,0.021330,0.015537,0.019735,0.020082,0.013142,0.003005,0.008190,0.006958,0.005367,0.007092,0.009276,NBC_Not_Chimes
0.278848,0.053759,3.243132,0.334638,0.191782,1.824806,0.007957,0.509636,-22.792538,-0.816619,-1.153646,-0.161050,0.581085,-0.621552,0.362141,-0.074255,-0.583477,0.222440,0.008941,-0.010518,-0.175787,0.002040,0.004213,0.004897,0.003675,0.006452,0.011755,0.008999,0.007169,0.013881,0.007462,0.000985,0.000716,0.010526,0.031017,0.015706,0.035072,0.013236,0.007293,0.206149,0.003215,0.035837,0.339002,0.323015,0.207968,0.165290,0.230404,0.277931,0.240984,0.273702,0.254793,0.236987,0.206737,0.155982,0.147752,0.002659,0.005094,0.006062,0.004533,0.012394,0.010343,0.009422,0.013138,0.015293,0.013481,0.000512,0.000783,0.007060,NBC_Not_Chimes
0.269182,0.007130,3.082263,0.428892,0.320655,1.324661,0.007151,0.578545,-28.159368,1.039049,1.960528,0.228294,1.458739,-0.396586,0.447089,0.277783,0.159062,0.100093,0.079513,0.158242,0.022369,0.001470,0.000870,0.095046,0.007297,0.009514,0.060466,0.036274,0.000298,0.000697,0.003770,0.010910,0.000504,0.036272,0.075559,0.003631,0.115983,0.036904,0.010030,0.441077,0.005534,0.209527,0.919342,0.295373,0.498037,0.312868,0.263715,0.211126,0.206988,0.157823,0.173255,0.131330,0.180109,0.156497,0.132035,0.001361,0.002182,0.047602,0.016540,0.010398,0.044419,0.026630,0.000346,0.000542,0.003189,0.010964,0.000422,0.008407,NBC_Not_Chimes
0.151545,0.022459,2.948249,0.252587,0.218778,1.309342,0.013833,0.289879,-25.048663,1.504731,-0.004609,0.753778,-0.176321,-0.362149,-0.065169,0.214867,-0.028134,-0.157498,-0.081186,-0.027006,-0.050198,0.019723,0.006309,0.064251,0.014618,0.014625,0.007819,0.018241,0.001939,0.009608,0.019924,0.013885,0.004993,0.023923,0.064271,0.031692,0.266397,0.060170,0.041148,0.524589,0.008119,0.169958,2.362763,0.786772,1.040206,0.569980,0.483063,0.469872,0.335268,0.321668,0.252517,0.257960,0.270710,0.307783,0.235929,0.026521,0.008050,0.059857,0.018235,0.014292,0.007360,0.023088,0.003052,0.014807,0.024139,0.012655,0.007288,0.015011,NBC_Not_Chimes
0.074427,0.104674,3.302462,0.169630,0.198548,0.217077,0.008228,0.079931,-23.485199,2.979946,-0.581307,-0.778493,-1.056776,-0.741637,0.092151,0.305633,0.354505,0.389169,-0.030759,-0.304659,-0.116791,0.110208,0.012199,0.002909,0.002806,0.001489,0.001204,0.003422,0.000234,0.001886,0.005473,0.014198,0.158999,0.055091,0.001477,0.018702,0.038260,0.022682,0.019762,0.109667,0.012880,0.009123,0.573358,0.486843,0.228708,0.237699,0.189430,0.120649,0.155421,0.116979,0.086293,0.097054,0.105774,0.096124,0.092564,0.060473,0.004100,0.001553,0.002003,0.001014,0.000763,0.002993,0.000098,0.001107,0.001916,0.004032,0.060185,0.008748,NBC_Chimes
0.048523,0.050377,3.203508,0.153387,0.206365,0.208866,0.008636,0.059773,-25.660479,3.164280,0.272559,0.139491,0.132461,-0.714765,-0.293417,-0.375047,-0.252987,-0.251096,-0.055998,-0.092954,-0.160264,0.106429,0.000412,0.009510,0.003914,0.068866,0.009327,0.006602,0.000180,0.008076,0.003930,0.004904,0.004011,0.046293,0.008063,0.022071,0.149268,0.016494,0.018724,0.123034,0.010295,0.015610,1.229274,0.442718,0.346500,0.300027,0.344346,0.221389,0.195189,0.219330,0.193926,0.198688,0.243216,0.174561,0.183034,0.034004,0.000448,0.008149,0.002513,0.022249,0.006354,0.008491,0.000247,0.005922,0.005320,0.005768,0.002465,0.008774,NBC_Chimes
